Country Name,2012,2013,2014,2015,2016,2017,2018,2019
Amravati,12891,14219,24635,15962,14128,19732,17908,17894
Aurangabad,19190,20305,33293,20881,19297,27684,27675,27946
Mumbai,45480,48545,65889,51125,45409,60502,57366,55711
Nagpur,33334,34688,55032,36712,33411,47526,43483,39418
Nashik,29387,30702,48160,30480,29590,44510,42640,41768
Pune,101091,106056,154126,101842,91485,124850,121609,116875
